order_id,customer_id,product_id,quantity,order_date,gross_sales,discount,net_sales,costs,contribution_margin
ORD5000,CUST1084,PROD134,11,2024-01-01 00:00:00.000000000,74.14,0.13,64.5,42.02,22.48
ORD5001,CUST1077,PROD107,68,2024-01-01 02:53:52.555036691,400.52,0.09,364.47,227.12,137.35
ORD5002,CUST1109,PROD145,1,2024-01-01 05:47:45.110073382,6.74,0.08,6.2,3.82,2.38
ORD5003,CUST1000,PROD113,92,2024-01-01 08:41:37.665110073,394.68,0.09,359.16,223.56,135.6
ORD5004,CUST1050,PROD109,63,2024-01-01 11:35:30.220146764,153.72,0.13,133.74,86.94,46.8
ORD5005,CUST1172,PROD101,24,2024-01-01 14:29:22.775183455,203.76,0.09,185.42,115.44,69.98
ORD5006,CUST1003,PROD145,99,2024-01-01 17:23:15.330220146,667.26,0.09,607.21,378.18,229.03
ORD5007,CUST1189,PROD108,13,2024-01-01 20:17:07.885256837,48.62,0.15,41.33,27.56,13.77
ORD5008,CUST1192,PROD102,98,2024-01-01 23:11:00.440293529,98.98,0.11,88.09,55.86,32.23
ORD5009,CUST1112,PROD120,11,2024-01-02 02:04:52.995330220,12.76,0.07,11.87,7.26,4.61
ORD5010,CUST1031,PROD125,51,2024-01-02 04:58:45.550366911,62.22,0.11,55.38,35.19,20.19
ORD5011,CUST1033,PROD107,17,2024-01-02 07:52:38.105403602,100.13,0.06,94.12,56.78,37.34
ORD5012,CUST1091,PROD147,99,2024-01-02 10:46:30.660440293,532.62,0.03,516.64,301.95,214.69
ORD5013,CUST1094,PROD101,82,2024-01-02 13:40:23.215476984,696.18,0.09,633.52,394.42,239.1
ORD5014,CUST1071,PROD105,86,2024-01-02 16:34:15.770513675,285.52,0.14,245.55,161.68,83.87
ORD5015,CUST1038,PROD127,24,2024-01-02 19:28:08.325550366,122.4,0.14,105.26,69.36,35.9
ORD5016,CUST1153,PROD128,19,2024-01-02 22:22:00.880587058,35.91,0.05,34.11,20.33,13.78
ORD5017,CUST1161,PROD125,37,2024-01-03 01:15:53.435623749,45.14,0.08,41.53,25.53,16.0
ORD5018,CUST1181,PROD124,85,2024-01-03 04:09:45.990660440,692.75,0.03,671.97,392.7,279.27
ORD5019,CUST1117,PROD111,8,2024-01-03 07:03:38.545697131,28.08,0.15,23.87,15.92,7.95
ORD5020,CUST1002,PROD104,28,2024-01-03 09:57:31.100733822,39.48,0.15,33.56,22.4,11.16
ORD5021,CUST1122,PROD133,5,2024-01-03 12:51:23.655770513,18.25,0.1,16.42,10.35,6.07
ORD5022,CUST1049,PROD147,17,2024-01-03 15:45:16.210807204,91.46,0.12,80.48,51.85,28.63
ORD5023,CUST1011,PROD136,36,2024-01-03 18:39:08.765843895,266.76,0.11,237.42,151.2,86.22
ORD5024,CUST1192,PROD114,19,2024-01-03 21:33:01.320880587,15.01,0.09,13.66,8.55,5.11
ORD5025,CUST1053,PROD143,64,2024-01-04 00:26:53.875917278,400.64,0.01,396.63,227.2,169.43
ORD5026,CUST1132,PROD135,91,2024-01-04 03:20:46.430953969,344.89,0.07,320.75,195.65,125.1
ORD5027,CUST1056,PROD114,98,2024-01-04 06:14:38.985990660,77.42,0.1,69.68,44.1,25.58
ORD5028,CUST1144,PROD142,11,2024-01-04 09:08:31.541027351,12.65,0.1,11.38,7.15,4.23
ORD5029,CUST1111,PROD147,54,2024-01-04 12:02:24.096064042,290.52,0.06,273.09,164.7,108.39
ORD5030,CUST1046,PROD122,45,2024-01-04 14:56:16.651100733,179.55,0.14,154.41,101.7,52.71
ORD5031,CUST1150,PROD105,47,2024-01-04 17:50:09.206137424,156.04,0.03,151.36,88.36,63.0
ORD5032,CUST1084,PROD145,12,2024-01-04 20:44:01.761174116,80.88,0.08,74.41,45.84,28.57
ORD5033,CUST1141,PROD149,21,2024-01-04 23:37:54.316210807,143.01,0.1,128.71,81.06,47.65
ORD5034,CUST1065,PROD143,11,2024-01-05 02:31:46.871247498,68.86,0.1,61.97,39.05,22.92
ORD5035,CUST1074,PROD142,92,2024-01-05 05:25:39.426284189,105.8,0.1,95.22,59.8,35.42
ORD5036,CUST1178,PROD144,5,2024-01-05 08:19:31.981320880,24.8,0.04,23.81,14.05,9.76
ORD5037,CUST1102,PROD120,81,2024-01-05 11:13:24.536357571,93.96,0.02,92.08,53.46,38.62
ORD5038,CUST1165,PROD122,56,2024-01-05 14:07:17.091394262,223.44,0.1,201.1,126.56,74.54
ORD5039,CUST1191,PROD142,20,2024-01-05 17:01:09.646430953,23.0,0.09,20.93,13.0,7.93
ORD5040,CUST1037,PROD115,41,2024-01-05 19:55:02.201467645,116.44,0.03,112.95,66.01,46.94
ORD5041,CUST1049,PROD146,46,2024-01-05 22:48:54.756504336,372.6,0.11,331.61,211.14,120.47
ORD5042,CUST1097,PROD114,12,2024-01-06 01:42:47.311541027,9.48,0.07,8.82,5.4,3.42
ORD5043,CUST1081,PROD124,70,2024-01-06 04:36:39.866577718,570.5,0.1,513.45,323.4,190.05
ORD5044,CUST1029,PROD135,17,2024-01-06 07:30:32.421614409,64.43,0.13,56.05,36.55,19.5
ORD5045,CUST1078,PROD110,19,2024-01-06 10:24:24.976651100,51.87,0.03,50.31,29.45,20.86
ORD5046,CUST1090,PROD114,26,2024-01-06 13:18:17.531687791,20.54,0.0,20.54,11.7,8.84
ORD5047,CUST1178,PROD103,48,2024-01-06 16:12:10.086724482,181.92,0.12,160.09,103.2,56.89
ORD5048,CUST1190,PROD120,52,2024-01-06 19:06:02.641761174,60.32,0.09,54.89,34.32,20.57
ORD5049,CUST1051,PROD112,96,2024-01-06 21:59:55.196797865,257.28,0.1,231.55,145.92,85.63
ORD5050,CUST1165,PROD121,70,2024-01-07 00:53:47.751834556,583.1,0.13,507.3,330.4,176.9
ORD5051,CUST1078,PROD118,55,2024-01-07 03:47:40.306871247,152.35,0.12,134.07,86.35,47.72
ORD5052,CUST1029,PROD133,75,2024-01-07 06:41:32.861907938,273.75,0.14,235.42,155.25,80.17
ORD5053,CUST1105,PROD113,33,2024-01-07 09:35:25.416944629,141.57,0.08,130.24,80.19,50.05
ORD5054,CUST1050,PROD103,62,2024-01-07 12:29:17.971981320,234.98,0.07,218.53,133.3,85.23
ORD5055,CUST1080,PROD147,88,2024-01-07 15:23:10.527018012,473.44,0.06,445.03,268.4,176.63
ORD5056,CUST1132,PROD145,23,2024-01-07 18:17:03.082054703,155.02,0.02,151.92,87.86,64.06
ORD5057,CUST1028,PROD126,15,2024-01-07 21:10:55.637091394,117.0,0.09,106.47,66.3,40.17
ORD5058,CUST1131,PROD128,27,2024-01-08 00:04:48.192128085,51.03,0.04,48.99,28.89,20.1
ORD5059,CUST1137,PROD146,75,2024-01-08 02:58:40.747164776,607.5,0.14,522.45,344.25,178.2
ORD5060,CUST1183,PROD127,64,2024-01-08 05:52:33.302201467,326.4,0.09,297.02,184.96,112.06
ORD5061,CUST1144,PROD134,81,2024-01-08 08:46:25.857238158,545.94,0.09,496.81,309.42,187.39
ORD5062,CUST1073,PROD107,51,2024-01-08 11:40:18.412274849,300.39,0.05,285.37,170.34,115.03
ORD5063,CUST1016,PROD115,53,2024-01-08 14:34:10.967311541,150.52,0.01,149.01,85.33,63.68
ORD5064,CUST1083,PROD141,78,2024-01-08 17:28:03.522348232,49.92,0.0,49.92,28.08,21.84
ORD5065,CUST1068,PROD135,91,2024-01-08 20:21:56.077384923,344.89,0.06,324.2,195.65,128.55
ORD5066,CUST1033,PROD129,82,2024-01-08 23:15:48.632421614,322.26,0.01,319.04,182.86,136.18
ORD5067,CUST1005,PROD117,92,2024-01-09 02:09:41.187458305,507.84,0.09,462.13,287.96,174.17
ORD5068,CUST1052,PROD101,51,2024-01-09 05:03:33.742494996,432.99,0.13,376.7,245.31,131.39
ORD5069,CUST1193,PROD148,47,2024-01-09 07:57:26.297531687,307.85,0.13,267.83,174.37,93.46
ORD5070,CUST1125,PROD112,4,2024-01-09 10:51:18.852568378,10.72,0.1,9.65,6.08,3.57
ORD5071,CUST1042,PROD103,7,2024-01-09 13:45:11.407605070,26.53,0.03,25.73,15.05,10.68
ORD5072,CUST1114,PROD125,35,2024-01-09 16:39:03.962641761,42.7,0.13,37.15,24.15,13.0
ORD5073,CUST1110,PROD124,48,2024-01-09 19:32:56.517678452,391.2,0.13,340.34,221.76,118.58
ORD5074,CUST1150,PROD129,73,2024-01-09 22:26:49.072715143,286.89,0.03,278.28,162.79,115.49
ORD5075,CUST1182,PROD110,72,2024-01-10 01:20:41.627751834,196.56,0.11,174.94,111.6,63.34
ORD5076,CUST1079,PROD106,45,2024-01-10 04:14:34.182788525,87.3,0.04,83.81,49.5,34.31
ORD5077,CUST1094,PROD130,81,2024-01-10 07:08:26.737825216,564.57,0.12,496.82,319.95,176.87
ORD5078,CUST1117,PROD143,81,2024-01-10 10:02:19.292861907,507.06,0.15,431.0,287.55,143.45
ORD5079,CUST1143,PROD109,97,2024-01-10 12:56:11.847898599,236.68,0.0,236.68,133.86,102.82
ORD5080,CUST1007,PROD138,96,2024-01-10 15:50:04.402935290,101.76,0.13,88.53,57.6,30.93
ORD5081,CUST1131,PROD112,72,2024-01-10 18:43:56.957971981,192.96,0.09,175.59,109.44,66.15
ORD5082,CUST1103,PROD130,19,2024-01-10 21:37:49.513008672,132.43,0.15,112.57,75.05,37.52
ORD5083,CUST1131,PROD106,63,2024-01-11 00:31:42.068045363,122.22,0.07,113.66,69.3,44.36
ORD5084,CUST1183,PROD148,38,2024-01-11 03:25:34.623082054,248.9,0.13,216.54,140.98,75.56
ORD5085,CUST1024,PROD141,67,2024-01-11 06:19:27.178118745,42.88,0.01,42.45,24.12,18.33
ORD5086,CUST1194,PROD141,59,2024-01-11 09:13:19.733155436,37.76,0.05,35.87,21.24,14.63
ORD5087,CUST1095,PROD135,69,2024-01-11 12:07:12.288192128,261.51,0.01,258.89,148.35,110.54
ORD5088,CUST1194,PROD119,13,2024-01-11 15:01:04.843228819,21.32,0.15,18.12,12.09,6.03
